companyClientLevelType,Communauto,POTENTIAL_CLIENT,
companyAddresses_primary,Openresty-China,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '150 Spear St, San Francisco, California 94105, US', 'address2': None, 'geoInfoEN': {'cityId': 5391958, 'city': 'San Francisco', 'province': 'California', 'country': 'United States'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,上上签 中国,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '合肥市高新区香蒲路501号1号楼', 'address2': None, 'geoInfoEN': {'cityId': 1808722, 'city': 'Hefei', 'province': 'Anhui', 'country': 'China'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,Sacramento Municipal Utility District,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '合肥市高新区香蒲路501号1号楼', 'address2': None, 'geoInfoEN': {'cityId': 1808722, 'city': 'Hefei', 'province': 'Anhui', 'country': 'China'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,XYZ Studio 快手 US,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '合肥市高新区香蒲路501号1号楼', 'address2': None, 'geoInfoEN': {'cityId': 1808722, 'city': 'Hefei', 'province': 'Anhui', 'country': 'China'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,爱家集团,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '上海杨浦区', 'address2': None, 'geoInfoEN': {'cityId': 1796236, 'city': 'Shanghai', 'province': 'Shanghai', 'country': 'China'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,Honeycomb Data 蜂巢科技（南通）有限公司,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '2400 Sand Hill Road', 'address2': None, 'geoInfoEN': {'cityId': 977058, 'city': 'Menlo Park', 'province': 'Gauteng', 'country': 'South Africa'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,雅智捷 Edenred,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '宁波市宁海县科技园区科园北路281号', 'address2': None, 'geoInfoEN': {'cityId': 1796236, 'city': 'Shanghai', 'province': 'Shanghai', 'country': 'China'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,SWIFT US,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '宁波市宁海县科技园区科园北路281号', 'address2': None, 'geoInfoEN': {'cityId': 1796236, 'city': 'Shanghai', 'province': 'Shanghai', 'country': 'China'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,DFS 全量全速 US,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '宁波市宁海县科技园区科园北路281号', 'address2': None, 'geoInfoEN': {'cityId': 1796236, 'city': 'Shanghai', 'province': 'Shanghai', 'country': 'China'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,蔚来,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '500 W Cummings Park, 6500', 'address2': None, 'geoInfoEN': {'cityId': 4956032, 'city': 'Woburn', 'province': 'Massachusetts', 'country': 'United States'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,Sobey UK,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '500 W Cummings Park, 6500', 'address2': None, 'geoInfoEN': {'cityId': 4956032, 'city': 'Woburn', 'province': 'Massachusetts', 'country': 'United States'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,Clover Biopharma 三叶草制药 US,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '500 W Cummings Park, 6500', 'address2': None, 'geoInfoEN': {'cityId': 4956032, 'city': 'Woburn', 'province': 'Massachusetts', 'country': 'United States'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,Hanchor Biotech 汉康生物技术 US,"{'address': 'Yangpu, Shanghai, China', 'address2': None, 'geoInfoEN': {'cityId': 1798234, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '500 W Cummings Park, 6500', 'address2': None, 'geoInfoEN': {'cityId': 4956032, 'city': 'Woburn', 'province': 'Massachusetts', 'country': 'United States'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,坤湛科技-Quadtalent,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '徐汇日月光7楼', 'address2': None, 'geoInfoEN': {'cityId': 1796236, 'city': 'Shanghai', 'province': 'Shanghai', 'country': 'China'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,SKF 斯凯孚,"{'address': '上海市嘉定区园汽路1189号', 'address2': None, 'geoInfoEN': {'cityId': 1814915, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': '9191 Towne Centre', 'address2': None, 'geoInfoEN': {'cityId': 1690160, 'city': 'San Diego', 'province': 'Calabarzon', 'country': 'Philippines'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,Immersity Tech Inc.,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': 'REMOTE Street', 'address2': None, 'geoInfoEN': {'cityId': 3493168, 'city': 'San Francisco', 'province': 'Provincia de Dajabon', 'country': 'Dominican Republic'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,中软国际,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': 'REMOTE Street', 'address2': None, 'geoInfoEN': {'cityId': 3493168, 'city': 'San Francisco', 'province': 'Provincia de Dajabon', 'country': 'Dominican Republic'}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,菲亚特克莱斯勒 Stellatis,"{'address': '古美路', 'address2': None, 'geoInfoEN': {'cityId': 1787375, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}"
companyAddresses_primary,上海依图网络科技有限公司,"{'address': None, 'address2': None, 'geoInfoEN': {'cityId': None, 'city': None, 'province': None, 'country': None}, 'companyAddressType': 'PRIMARY'}","{'address': 'No.9 Dongjin Road, Huaguoshan Avenue,', 'address2': None, 'geoInfoEN': {'cityId': 1796236, 'city': 'Shanghai', 'province': 'Shanghai', 'country': 'China'}, 'companyAddressType': 'PRIMARY'}"
